x,y,z
601,28,"463
"
601,34,"463
"
601,34,"463
"
601,31,"463
"
600,40,"463
"
600,39,"463
"
600,36,"463
"
600,32,"463
"
600,29,"463
"
599,38,"463
"
599,29,"463
"
599,41,"463
"
599,32,"463
"
599,37,"463
"
598,32,"463
"
599,26,"463
"
536,10471,"474
"
532,127,"474
"
496,1068,"475
"
495,79,"475
"
495,32,"475
"
495,33,"475
"
494,30,"475
"
477,1396,"477
"
478,52,"477
"
479,34,"477
"
480,32,"477
"
481,35,"477
"
482,25,"477
"
483,33,"477
"
484,34,"477
"
485,29,"477
"
486,1459,"478
"
487,33,"478
"
488,33,"479
"
489,28,"479
"
490,36,"479
"
491,25,"479
"
492,25,"479
"
493,816,"479
"
494,25,"479
"
495,32,"479
"
496,30,"480
"
497,28,"480
"
498,33,"480
"
499,30,"480
"
500,34,"480
"
501,31,"480
"
502,33,"480
"
503,30,"480
"
504,26,"480
"
505,34,"480
"
506,24,"480
"
507,29,"480
"
508,34,"480
"
509,34,"480
"
510,27,"480
"
511,921,"481
"
512,26,"481
"
513,29,"481
"
514,32,"481
"
515,24,"481
"
516,24,"481
"
517,503,"482
"
518,29,"482
"
519,28,"482
"
520,29,"482
"
521,24,"482
"
522,249,"482
"
523,31,"482
"
524,26,"482
"
525,31,"482
"
526,31,"482
"
527,209,"482
"
528,28,"482
"
529,34,"482
"
530,31,"482
"
531,33,"482
"
532,30,"482
"
533,27,"482
"
519,1500,"484
"
520,52,"484
"
521,28,"484
"
522,319,"484
"
523,23,"484
"
523,32,"484
"
518,324,"485
"
519,33,"485
"
520,27,"485
"
521,408,"485
"
522,31,"485
"
523,32,"485
"
517,316,"486
"
518,40,"486
"
519,32,"486
"
520,25,"486
"
521,589,"486
"
521,30,"486
"
521,35,"486
"
521,30,"486
"
521,33,"486
"
521,30,"486
"
520,141,"486
"
521,34,"487
"
522,38,"487
"
523,25,"487
"
524,30,"487
"
525,132,"487
"
526,32,"487
"
527,33,"487
"
528,23,"487
"
529,32,"487
"
530,199,"487
"
531,30,"487
"
532,30,"487
"
533,37,"487
"
533,26,"487
"
533,32,"487
"
533,31,"487
"
533,35,"487
"
533,28,"487
"
533,26,"487
"
533,40,"487
"
534,36,"487
"
535,29,"487
"
536,26,"487
"
537,21,"487
"
538,37,"488
"
539,26,"488
"
540,35,"488
"
541,31,"488
"
542,32,"488
"
543,34,"488
"
544,33,"488
"
545,32,"488
"
546,39,"488
"
547,27,"488
"
548,32,"488
"
549,36,"488
"
550,32,"488
"
551,31,"488
"
552,38,"488
"
553,28,"488
"
554,33,"488
"
555,32,"488
"
556,34,"488
"
557,33,"488
"
557,29,"488
"
557,24,"488
"
557,33,"488
"
557,34,"488
"
557,27,"488
"
557,26,"488
"
557,34,"488
"
557,32,"488
"
558,33,"488
"
559,30,"488
"
560,27,"488
"
561,33,"489
"
562,32,"489
"
563,30,"489
"
564,36,"489
"
565,26,"489
"
566,33,"489
"
567,26,"489
"
568,31,"489
"
569,32,"489
"
570,30,"489
"
571,31,"489
"
572,28,"489
"
573,29,"489
"
574,28,"489
"
575,27,"489
"
576,35,"489
"
577,26,"489
"
578,33,"489
"
579,30,"489
"
580,31,"489
"
581,31,"489
"
582,35,"489
"
583,32,"489
"
583,34,"489
"
583,35,"489
"
583,33,"489
"
583,30,"489
"
583,32,"489
"
583,38,"489
"
582,37,"489
"
582,32,"489
"
582,37,"489
"
583,33,"490
"
584,23,"490
"
585,34,"490
"
586,27,"490
"
587,28,"490
"
588,36,"490
"
589,28,"490
"
590,33,"490
"
591,31,"490
"
592,34,"490
"
593,35,"490
"
594,29,"490
"
595,34,"490
"
596,32,"490
"
597,32,"490
"
598,30,"490
"
599,32,"490
"
600,35,"490
"
601,32,"490
"
602,24,"490
"
603,35,"490
"
604,25,"490
"
605,32,"490
"
606,27,"490
"
607,33,"490
"
608,34,"490
"
609,24,"490
"
610,34,"490
"
611,32,"490
"
612,31,"490
"
613,38,"490
"
614,32,"490
"
614,28,"491
"
614,38,"491
"
614,33,"491
"
614,32,"491
"
614,34,"491
"
613,31,"491
"
614,37,"491
"
615,36,"491
"
616,32,"491
"
617,34,"491
"
618,35,"491
"
619,31,"491
"
620,31,"491
"
621,33,"491
"
622,34,"491
"
623,29,"491
"
624,27,"491
"
625,27,"491
"
626,27,"491
"
627,30,"491
"
628,35,"491
"
629,33,"491
"
630,30,"491
"
631,27,"491
"
632,34,"491
"
633,25,"491
"
634,28,"491
"
635,35,"491
"
636,25,"491
"
637,36,"491
"
638,31,"491
"
639,30,"492
"
640,27,"492
"
641,23,"492
"
642,33,"492
"
643,36,"492
"
644,24,"492
"
645,34,"492
"
646,26,"492
"
647,36,"492
"
648,33,"492
"
649,30,"492
"
650,36,"492
"
651,30,"492
"
652,34,"492
"
652,35,"492
"
651,27,"492
"
651,38,"492
"
651,38,"492
"
651,29,"492
"
650,37,"492
"
650,37,"492
"
651,30,"492
"
652,34,"492
"
653,23,"492
"
408,20554,"513
"
409,410,"513
"
410,30,"513
"
411,31,"513
"
412,32,"513
"
413,26,"513
"
414,29,"513
"
415,23,"513
"
416,31,"513
"
417,30,"513
"
418,32,"513
"
419,30,"513
"
420,33,"514
"
421,33,"514
"
422,37,"514
"
423,28,"514
"
424,29,"514
"
425,34,"514
"
426,30,"514
"
427,34,"514
"
428,28,"514
"
429,33,"514
"
430,35,"514
"
431,26,"514
"
432,36,"514
"
433,34,"514
"
434,33,"514
"
435,29,"514
"
436,34,"514
"
437,29,"514
"
438,32,"514
"
439,32,"514
"
440,34,"514
"
441,23,"514
"
442,32,"514
"
443,33,"514
"
444,29,"514
"
445,32,"514
"
446,30,"514
"
447,30,"514
"
448,30,"514
"
449,31,"514
"
450,26,"514
"
451,24,"514
"
452,35,"515
"
453,33,"515
"
454,31,"515
"
455,26,"515
"
456,32,"515
"
457,28,"515
"
458,25,"515
"
459,31,"515
"
460,34,"515
"
461,32,"515
"
462,27,"515
"
463,32,"515
"
464,27,"515
"
465,32,"515
"
466,31,"515
"
467,32,"515
"
468,23,"515
"
469,37,"515
"
470,24,"515
"
471,34,"515
"
472,26,"515
"
473,25,"515
"
474,34,"515
"
475,26,"515
"
476,30,"515
"
477,31,"515
"
478,28,"515
"
479,32,"515
"
480,29,"515
"
481,30,"515
"
482,29,"515
"
483,37,"515
"
484,35,"515
"
485,28,"516
"
486,32,"516
"
487,35,"516
"
488,27,"516
"
489,35,"516
"
490,32,"516
"
491,29,"516
"
492,33,"516
"
493,34,"516
"
494,28,"516
"
495,24,"516
"
496,34,"516
"
497,33,"516
"
498,31,"516
"
499,32,"516
"
500,28,"516
"
501,32,"516
"
502,27,"516
"
503,32,"516
"
504,30,"516
"
505,26,"516
"
506,33,"516
"
507,26,"516
"
508,28,"516
"
509,26,"516
"
510,34,"516
"
511,24,"516
"
512,33,"516
"
513,27,"516
"
514,23,"516
"
515,21,"516
"
516,26,"516
"
517,31,"516
"
518,30,"516
"
519,32,"517
"
520,28,"517
"
521,30,"517
"
522,25,"517
"
523,33,"517
"
524,32,"517
"
525,33,"517
"
526,34,"517
"
527,35,"517
"
528,33,"517
"
529,31,"517
"
530,33,"517
"
531,36,"517
"
532,27,"517
"
533,26,"517
"
534,31,"517
"
535,28,"517
"
536,31,"517
"
537,33,"517
"
538,34,"517
"
539,33,"517
"
540,36,"517
"
541,31,"517
"
542,37,"517
"
543,36,"517
"
544,36,"517
"
545,28,"517
"
546,38,"517
"
547,36,"517
"
548,32,"517
"
549,35,"517
"
550,37,"518
"
551,33,"518
"
552,27,"518
"
553,33,"518
"
554,31,"518
"
555,31,"518
"
556,32,"518
"
557,39,"518
"
558,32,"518
"
559,23,"518
"
560,33,"518
"
561,27,"518
"
562,24,"518
"
563,33,"518
"
564,36,"518
"
565,37,"518
"
566,31,"518
"
567,32,"518
"
568,30,"518
"
569,34,"518
"
570,27,"518
"
571,33,"518
"
572,35,"518
"
573,31,"518
"
574,26,"518
"
574,33,"518
"
574,37,"518
"
575,27,"518
"
576,36,"518
"
577,31,"518
"
578,36,"518
"
579,32,"519
"
580,31,"519
"
581,32,"519
"
582,37,"519
"
583,31,"519
"
584,29,"519
"
585,31,"519
"
586,27,"519
"
586,33,"519
"
586,25,"519
"
586,33,"519
"
586,31,"519
"
586,34,"519
"
586,34,"519
"
586,38,"519
"
586,29,"519
"
586,37,"519
"
586,35,"519
"
586,32,"519
"
586,36,"519
"
586,37,"519
"
586,32,"519
"
585,35,"519
"
585,33,"519
"
585,36,"519
"
585,28,"519
"
585,36,"519
"
585,35,"519
"
584,40,"519
"
584,36,"519
"
584,33,"520
"
584,37,"520
"
584,34,"520
"
584,30,"520
"
583,38,"520
"
583,37,"520
"
583,29,"520
"
583,35,"520
"
583,33,"520
"
583,32,"520
"
583,33,"520
"
583,40,"520
"
582,31,"520
"
583,29,"520
"
583,35,"520
"
583,33,"520
"
582,38,"520
"
582,36,"520
"
582,35,"520
"
582,35,"520
"
582,34,"520
"
582,32,"520
"
582,37,"520
"
582,33,"520
"
582,32,"520
"
582,35,"520
"
582,33,"520
"
581,34,"520
"
581,32,"520
"
543,1353,"522
"
541,87,"522
"
541,40,"522
"
541,28,"522
"
541,28,"522
"
541,32,"522
"
541,32,"522
"
542,29,"522
"
542,21,"522
"
542,29,"522
"
542,33,"522
"
542,26,"522
"
